Period (sec),RSN-6 SRSS pSa (g),RSN-266 SRSS pSa (g),RSN-461 SRSS pSa (g),RSN-4098 SRSS pSa (g),RSN-5823 SRSS pSa (g),RSN-6890 SRSS pSa (g),RSN-140 SRSS pSa (g),RSN-836 SRSS pSa (g),RSN-841 SRSS pSa (g),RSN-1454 SRSS pSa (g),RSN-5883 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
0.48,0.78237182,0.6089374,0.782274,0.63959273,0.76013507,0.870233,0.58864966,0.75495133,0.60131727,0.73164561,0.46068151,,,,,,,,,,,,,,,,,,,,,,
0.5,0.76467976,0.64963975,0.79419103,0.64893405,0.77909402,0.90120429,0.6107288,0.67452797,0.60499923,0.76014552,0.43733121,,,,,,,,,,,,,,,,,,,,,,
0.55,0.78212658,0.74016634,0.88830217,0.66239241,0.70708118,0.81734921,0.4440486,0.53946149,0.79313627,0.7405219,0.57213009,,,,,,,,,,,,,,,,,,,,,,
0.6,0.66708822,0.93772199,0.83286675,0.67954127,0.54344846,0.73668067,0.4641855,0.4683829,0.88105625,0.8045515,0.6684854,,,,,,,,,,,,,,,,,,,,,,
0.65,0.56614307,0.97669664,0.78412899,0.67267635,0.55495618,0.64582711,0.4219208,0.4080169,0.86953041,1.09881358,0.47885623,,,,,,,,,,,,,,,,,,,,,,
0.667,0.55871449,0.90676396,0.77110812,0.66490261,0.58373109,0.62937569,0.39914552,0.38532075,0.88660783,1.14924082,0.44805403,,,,,,,,,,,,,,,,,,,,,,
0.7,0.5968939,0.72704649,0.76676444,0.6440921,0.64484285,0.66123746,0.40343222,0.38309543,0.94968604,1.18633763,0.43034264,,,,,,,,,,,,,,,,,,,,,,
0.75,0.52245349,0.54593061,0.68399955,0.60605648,0.57507409,0.56376485,0.36541264,0.31171766,1.02718687,1.08267719,0.45956171,,,,,,,,,,,,,,,,,,,,,,
0.8,0.56697325,0.53131026,0.67885754,0.5707089,0.5684376,0.46133644,0.32148479,0.32846121,1.00100886,0.99902481,0.46946512,,,,,,,,,,,,,,,,,,,,,,
0.85,0.55882516,0.50946031,0.62695546,0.55344651,0.60173361,0.39553931,0.28092007,0.30772018,0.88987833,0.89720786,0.480889,,,,,,,,,,,,,,,,,,,,,,
0.9,0.50986532,0.48195838,0.54101089,0.53266345,0.5344089,0.40460565,0.2143012,0.32585664,0.79858911,0.95014733,0.38876968,,,,,,,,,,,,,,,,,,,,,,
0.95,0.4889537,0.47373676,0.48542182,0.51107904,0.50452485,0.52505897,0.19134123,0.33653267,0.68138356,0.95751808,0.34535514,,,,,,,,,,,,,,,,,,,,,,
1,0.46352459,0.44261055,0.41516805,0.50842085,0.47085192,0.52396361,0.16417605,0.31266454,0.56306621,1.01014641,0.28640835,,,,,,,,,,,,,,,,,,,,,,
1.1,0.39123674,0.4318482,0.41359055,0.44585977,0.36810493,0.41107094,0.13920032,0.22804699,0.44730749,1.03044255,0.2361307,,,,,,,,,,,,,,,,,,,,,,
1.2,0.40459918,0.51841167,0.32305215,0.38820731,0.40115502,0.31821519,0.14221722,0.21495487,0.30831592,1.05578358,0.19999825,,,,,,,,,,,,,,,,,,,,,,
1.3,0.33766412,0.48706101,0.24572954,0.33545072,0.43246566,0.26519723,0.13121101,0.28050959,0.25305989,0.82609218,0.12763701,,,,,,,,,,,,,,,,,,,,,,
