Period (sec),RSN-161 SRSS pSa (g),RSN-548 SRSS pSa (g),RSN-806 SRSS pSa (g),RSN-2507 SRSS pSa (g),RSN-4879 SRSS pSa (g),RSN-1410 SRSS pSa (g),RSN-1640 SRSS pSa (g),RSN-1810 SRSS pSa (g),RSN-1825 SRSS pSa (g),RSN-5790 SRSS pSa (g),RSN-6901 SRSS pSa (g),,,,,,,,,,,,,,,,,,,,,,
0.1,0.42758826,0.54444641,0.38257393,0.30794248,0.3938844,0.27091468,0.20454997,0.22145149,0.2342233,0.18794915,0.26135407,,,,,,,,,,,,,,,,,,,,,,
0.11,0.44407169,0.67052852,0.41480706,0.32041333,0.46026835,0.27125803,0.22079707,0.22532007,0.24348243,0.19525552,0.27605949,,,,,,,,,,,,,,,,,,,,,,
0.12,0.44461176,0.79718951,0.49381071,0.32905767,0.4790851,0.27028767,0.21674665,0.22394509,0.27315063,0.2059679,0.30668265,,,,,,,,,,,,,,,,,,,,,,
0.13,0.53811133,0.78262968,0.5005176,0.32174176,0.47822018,0.27829781,0.23313017,0.24004763,0.28056657,0.21297377,0.31768188,,,,,,,,,,,,,,,,,,,,,,
0.133,0.54773001,0.78132823,0.45265761,0.32532193,0.49484291,0.27737277,0.24275488,0.24509059,0.28683924,0.21546332,0.31199544,,,,,,,,,,,,,,,,,,,,,,
0.14,0.57466218,0.848035,0.44823337,0.31786717,0.486275,0.27077734,0.24519025,0.25156923,0.26988292,0.21335622,0.30230288,,,,,,,,,,,,,,,,,,,,,,
0.15,0.54095792,0.95088719,0.49648134,0.30597188,0.4605692,0.27266534,0.21498882,0.28369893,0.26623431,0.21559798,0.31637594,,,,,,,,,,,,,,,,,,,,,,
0.16,0.61470823,0.91526811,0.49719692,0.35565922,0.44696912,0.28118253,0.22137648,0.30343682,0.26600526,0.21461377,0.33781519,,,,,,,,,,,,,,,,,,,,,,
0.17,0.66485128,0.98360809,0.61378934,0.39907527,0.50280853,0.29039838,0.23299376,0.36728983,0.29380165,0.23245865,0.46958312,,,,,,,,,,,,,,,,,,,,,,
0.18,0.67793368,1.04252003,0.72148436,0.36195772,0.54008989,0.29814328,0.23246986,0.38237024,0.28432233,0.23697426,0.54293848,,,,,,,,,,,,,,,,,,,,,,
0.19,0.65306488,0.98942601,0.70509367,0.31454059,0.566475,0.29710681,0.2596139,0.43212476,0.27488985,0.22681932,0.46285812,,,,,,,,,,,,,,,,,,,,,,
0.2,0.62674391,0.86427006,0.7586797,0.3237122,0.58232452,0.31312308,0.26205161,0.43186975,0.27032388,0.22231769,0.4138451,,,,,,,,,,,,,,,,,,,,,,
0.22,0.57904351,0.65022429,0.77036391,0.44634011,0.59004061,0.33388239,0.29656496,0.45315323,0.28063305,0.24925616,0.42729301,,,,,,,,,,,,,,,,,,,,,,
0.24,0.61115527,0.70423371,0.68714167,0.48306878,0.59628646,0.38934464,0.33991246,0.49020529,0.32593445,0.27141697,0.47514537,,,,,,,,,,,,,,,,,,,,,,
0.25,0.66467349,0.62237747,0.62848149,0.5276109,0.564771,0.44861275,0.38146468,0.43916444,0.33473979,0.27774306,0.40284288,,,,,,,,,,,,,,,,,,,,,,
0.26,0.74193249,0.54241882,0.64901794,0.57520854,0.50732594,0.48929098,0.42967991,0.41925406,0.32575578,0.27993781,0.38975598,,,,,,,,,,,,,,,,,,,,,,
0.28,0.84596919,0.47668031,0.67895527,0.55569659,0.41837432,0.53439133,0.42191155,0.39724988,0.30003955,0.313356,0.36689363,,,,,,,,,,,,,,,,,,,,,,
0.29,0.83390163,0.45670951,0.66299339,0.51681164,0.41337498,0.56866941,0.38375448,0.39873452,0.30172331,0.33515468,0.40282844,,,,,,,,,,,,,,,,,,,,,,
0.3,0.78303812,0.48098178,0.63392129,0.49213494,0.42343708,0.58511828,0.3696886,0.39389581,0.29905249,0.35151345,0.44057467,,,,,,,,,,,,,,,,,,,,,,
0.32,0.67898621,0.54386719,0.54199122,0.47910997,0.40489016,0.61234963,0.3942953,0.38960996,0.34617063,0.34758519,0.5071156,,,,,,,,,,,,,,,,,,,,,,
0.34,0.61162023,0.55235654,0.48554521,0.42314859,0.38205501,0.56946326,0.4073649,0.41256329,0.36262295,0.36537236,0.49325088,,,,,,,,,,,,,,,,,,,,,,
0.35,0.55957393,0.54393629,0.49436155,0.41944394,0.38341499,0.58026633,0.41706591,0.3747074,0.38684217,0.36917591,0.46581544,,,,,,,,,,,,,,,,,,,,,,
0.36,0.49560193,0.5323753,0.52209108,0.43304569,0.39272667,0.56750562,0.45428544,0.37208443,0.40020307,0.38121245,0.47933818,,,,,,,,,,,,,,,,,,,,,,
0.38,0.44664118,0.49150873,0.51447367,0.46267814,0.44084756,0.54109041,0.51298278,0.38369174,0.41790067,0.38044553,0.44734906,,,,,,,,,,,,,,,,,,,,,,
0.4,0.47579086,0.48664372,0.46405264,0.47535219,0.48789926,0.47683653,0.49969077,0.42821469,0.3870987,0.37821322,0.4452758,,,,,,,,,,,,,,,,,,,,,,
0.42,0.48859557,0.46692507,0.47338234,0.46026585,0.48221941,0.46662673,0.45852514,0.4590943,0.46487667,0.42692225,0.46703585,,,,,,,,,,,,,,,,,,,,,,
0.44,0.48786505,0.45209279,0.47448371,0.46286935,0.48555543,0.46110902,0.45118754,0.46308408,0.50103844,0.49025381,0.49998504,,,,,,,,,,,,,,,,,,,,,,
0.45,0.48363047,0.46435336,0.4604295,0.46736188,0.47728653,0.43598744,0.4555397,0.44862375,0.48752461,0.52601146,0.53440546,,,,,,,,,,,,,,,,,,,,,,
0.46,0.47741963,0.46781664,0.45623165,0.47915109,0.47301209,0.43038644,0.4481712,0.43868232,0.4826711,0.54872457,0.53838495,,,,,,,,,,,,,,,,,,,,,,
0.48,0.46182503,0.48031096,0.49464459,0.496056,0.46829832,0.44690888,0.44243929,0.44367503,0.45694193,0.51319007,0.48920108,,,,,,,,,,,,,,,,,,,,,,
0.5,0.44567107,0.51045268,0.50484615,0.49181954,0.45667243,0.5330867,0.45592222,0.44661365,0.42369605,0.45678082,0.44777697,,,,,,,,,,,,,,,,,,,,,,
0.55,0.47715654,0.45402493,0.47523773,0.47752753,0.44909717,0.50868085,0.49215056,0.56540366,0.47619653,0.4536042,0.43384575,,,,,,,,,,,,,,,,,,,,,,
0.6,0.4504443,0.46634281,0.44582124,0.43845981,0.4676709,0.48355524,0.53845505,0.5620466,0.57677129,0.46437022,0.39682498,,,,,,,,,,,,,,,,,,,,,,
0.65,0.3930369,0.44787831,0.3891444,0.4207537,0.49220466,0.57884267,0.58639294,0.48192905,0.47515431,0.49114437,0.3581799,,,,,,,,,,,,,,,,,,,,,,
0.667,0.3766664,0.43422423,0.3845215,0.40661547,0.50615936,0.57253377,0.62825423,0.47590395,0.41590656,0.56496104,0.30042428,,,,,,,,,,,,,,,,,,,,,,
0.7,0.35335941,0.41915764,0.38208171,0.35244579,0.52874601,0.557587,0.67640962,0.46778643,0.38139233,0.6833957,0.26125618,,,,,,,,,,,,,,,,,,,,,,
0.75,0.33992201,0.42602352,0.39509325,0.28304038,0.58661459,0.60496592,0.69929919,0.45100116,0.336947,0.71030686,0.28021375,,,,,,,,,,,,,,,,,,,,,,
0.8,0.33369321,0.42450275,0.36900671,0.25092974,0.63410411,0.52055291,0.60227846,0.50767157,0.31714477,0.66973499,0.26752754,,,,,,,,,,,,,,,,,,,,,,
0.85,0.32964472,0.40095614,0.31588149,0.23665366,0.65860665,0.55509663,0.46296184,0.51917797,0.29908546,0.59488931,0.23840314,,,,,,,,,,,,,,,,,,,,,,
0.9,0.33571068,0.43288357,0.31194039,0.2418214,0.65061871,0.60731603,0.42470493,0.49112426,0.32908542,0.53692675,0.23338075,,,,,,,,,,,,,,,,,,,,,,
0.95,0.3386254,0.42502557,0.33029117,0.2288627,0.62331449,0.68539817,0.37278461,0.43675236,0.33923571,0.45535,0.29946699,,,,,,,,,,,,,,,,,,,,,,
1,0.33667564,0.39266235,0.32733048,0.22885931,0.60016004,0.79816168,0.32635545,0.37019833,0.31014773,0.39283481,0.34038484,,,,,,,,,,,,,,,,,,,,,,
1.1,0.32045243,0.33946488,0.33354816,0.24676921,0.56897675,0.82095107,0.30683194,0.32228231,0.26661277,0.29212105,0.27963227,,,,,,,,,,,,,,,,,,,,,,
1.2,0.29989956,0.29348315,0.36388476,0.2287896,0.56066076,0.72817916,0.32077801,0.26004801,0.23176128,0.22580068,0.25917373,,,,,,,,,,,,,,,,,,,,,,
1.3,0.28244064,0.22258562,0.3629468,0.22664878,0.51855708,0.71869537,0.36325966,0.30278562,0.23235002,0.16983099,0.24048802,,,,,,,,,,,,,,,,,,,,,,
